Drug_A,Drug_B,Level,Drug_A_MolecularWeight,Drug_A_XLogP,Drug_A_ExactMass,Drug_A_TPSA,Drug_B_MolecularWeight,Drug_B_XLogP,Drug_B_ExactMass,Drug_B_TPSA,Drug_A_ID,Drug_B_ID,Level_ID
Naltrexone,Abacavir,Moderate,341.4,1.9,341.16270821,70.0,286.33,0.9,286.15420922,102.0,1,2,2
Abacavir,Orlistat,Moderate,286.33,0.9,286.15420922,102.0,495.7,10.0,495.39237379,81.7,2,435,2
Aprepitant,Dolutegravir,Minor,534.4,4.2,534.15018768,75.2,419.4,2.4,419.12927704,99.2,3,1053,1
Cimetidine,Dolutegravir,Minor,252.34,0.4,252.11571571,114.0,419.4,2.4,419.12927704,99.2,4,1053,1
Clarithromycin,Dolutegravir,Minor,748.0,3.2,747.47689126,183.0,419.4,2.4,419.12927704,99.2,5,1053,1
Clotrimazole,Dolutegravir,Minor,344.8,5.0,344.1080262,17.8,419.4,2.4,419.12927704,99.2,6,1053,1
Dexamethasone,Dolutegravir,Minor,392.5,1.9,392.19990218,94.8,419.4,2.4,419.12927704,99.2,7,1053,1
Lamivudine,Lactitol,Moderate,229.26,-0.9,229.05211239,113.0,344.31,-5.2,344.13186158,201.0,8,988,2
Lamivudine,Mannitol,Moderate,229.26,-0.9,229.05211239,113.0,182.17,-3.1,182.07903816,121.0,8,296,2
Metformin,Dolutegravir,Moderate,129.16,-1.3,129.10144537,91.5,419.4,2.4,419.12927704,99.2,9,1053,2
Miconazole,Dolutegravir,Minor,416.1,5.3,415.983074,27.1,419.4,2.4,419.12927704,99.2,10,1053,1
Naltrexone,Lamivudine,Moderate,341.4,1.9,341.16270821,70.0,229.26,-0.9,229.05211239,113.0,1,8,2
Lamivudine,Orlistat,Moderate,229.26,-0.9,229.05211239,113.0,495.7,10.0,495.39237379,81.7,8,435,2
Lamivudine,Sorbitol,Moderate,229.26,-0.9,229.05211239,113.0,182.17,-3.1,182.07903816,121.0,8,1054,2
Troglitazone,Dolutegravir,Minor,441.5,5.1,441.16099414,110.0,419.4,2.4,419.12927704,99.2,11,1053,1
Zidovudine,Amphotericin B,Moderate,267.24,0.0,267.09675391,93.2,924.1,0.0,923.48784986,320.0,12,156,2
Betamethasone,Zidovudine,Moderate,392.5,1.9,392.19990218,94.8,267.24,0.0,267.09675391,93.2,13,12,2
Zidovudine,Budesonide,Moderate,267.24,0.0,267.09675391,93.2,430.5,2.5,430.2355388,93.1,12,459,2
Zidovudine,Cimetidine,Minor,267.24,0.0,267.09675391,93.2,252.34,0.4,252.11571571,114.0,12,4,1
Zidovudine,Clarithromycin,Minor,267.24,0.0,267.09675391,93.2,748.0,3.2,747.47689126,183.0,12,5,1
Zidovudine,Dexamethasone,Moderate,267.24,0.0,267.09675391,93.2,392.5,1.9,392.19990218,94.8,12,7,2
Zidovudine,Hydrocortisone,Moderate,267.24,0.0,267.09675391,93.2,362.5,1.6,362.20932405,94.8,12,41,2
Zidovudine,Naltrexone,Moderate,267.24,0.0,267.09675391,93.2,341.4,1.9,341.16270821,70.0,12,1,2
Zidovudine,Prednisolone,Moderate,267.24,0.0,267.09675391,93.2,360.4,1.6,360.19367399,94.8,12,42,2
Zidovudine,Prednisone,Moderate,267.24,0.0,267.09675391,93.2,358.4,1.5,358.17802393,91.7,12,43,2
Zidovudine,Rosuvastatin,Moderate,267.24,0.0,267.09675391,93.2,481.5,1.6,481.16828496,149.0,12,36,2
Zidovudine,Simvastatin,Moderate,267.24,0.0,267.09675391,93.2,418.6,4.7,418.27192431,72.8,12,37,2
Zidovudine,Triamcinolone,Moderate,267.24,0.0,267.09675391,93.2,394.4,1.2,394.17916674,115.0,12,45,2
Aprepitant,Abemaciclib,Moderate,534.4,4.2,534.15018768,75.2,506.6,3.8,506.27179938,75.0,3,1055,2
Clarithromycin,Abemaciclib,Major,748.0,3.2,747.47689126,183.0,506.6,3.8,506.27179938,75.0,5,1055,3
Clotrimazole,Abemaciclib,Moderate,344.8,5.0,344.1080262,17.8,506.6,3.8,506.27179938,75.0,6,1055,2
Dexamethasone,Abemaciclib,Moderate,392.5,1.9,392.19990218,94.8,506.6,3.8,506.27179938,75.0,7,1055,2
Metformin,Abemaciclib,Moderate,129.16,-1.3,129.10144537,91.5,506.6,3.8,506.27179938,75.0,9,1055,2
Naltrexone,Abemaciclib,Moderate,341.4,1.9,341.16270821,70.0,506.6,3.8,506.27179938,75.0,1,1055,2
Troglitazone,Abemaciclib,Moderate,441.5,5.1,441.16099414,110.0,506.6,3.8,506.27179938,75.0,11,1055,2
Abiraterone,Bisacodyl,Moderate,349.5,4.6,349.240564612,33.1,361.4,3.8,361.13140809,65.5,14,465,2
Cisapride,Abiraterone,Major,465.9,3.4,465.1830623,86.1,349.5,4.6,349.240564612,33.1,15,14,3
Clarithromycin,Abiraterone,Moderate,748.0,3.2,747.47689126,183.0,349.5,4.6,349.240564612,33.1,5,14,2
Dexfenfluramine,Abiraterone,Moderate,231.26,3.4,231.123484,12.0,349.5,4.6,349.240564612,33.1,16,14,2
Dolasetron,Abiraterone,Major,324.4,3.4,324.1473925,62.4,349.5,4.6,349.240564612,33.1,17,14,3
Abiraterone,Eliglustat,Major,349.5,4.6,349.240564612,33.1,404.5,3.7,404.26750763,71.0,14,463,3
Abiraterone,Eluxadoline,Moderate,349.5,4.6,349.240564612,33.1,569.6,0.9,569.26381923,165.0,14,298,2
Famotidine,Abiraterone,Moderate,337.5,-0.6,337.04493627,238.0,349.5,4.6,349.240564612,33.1,18,14,2
Fenfluramine,Abiraterone,Moderate,231.26,3.4,231.123484,12.0,349.5,4.6,349.240564612,33.1,19,14,2
Abiraterone,Glycerin,Moderate,349.5,4.6,349.240564612,33.1,92.09,-1.8,92.047344113,60.7,14,573,2
Granisetron,Abiraterone,Moderate,312.4,2.8,312.1950114,50.2,349.5,4.6,349.240564612,33.1,20,14,2
Abiraterone,Lactitol,Moderate,349.5,4.6,349.240564612,33.1,344.31,-5.2,344.13186158,201.0,14,988,2
Lactulose,Abiraterone,Moderate,342.3,-4.3,342.11621151,190.0,349.5,4.6,349.240564612,33.1,21,14,2
Levofloxacin,Abiraterone,Moderate,361.4,-0.4,361.14378429,73.3,349.5,4.6,349.240564612,33.1,22,14,2
Loperamide,Abiraterone,Major,477.0,5.0,476.223056,43.8,349.5,4.6,349.240564612,33.1,23,14,3
Metoclopramide,Abiraterone,Moderate,299.79,2.6,299.1400546,67.6,349.5,4.6,349.240564612,33.1,24,14,2
Metronidazole,Abiraterone,Minor,171.15,0.0,171.06439116,83.9,349.5,4.6,349.240564612,33.1,25,14,1
Abiraterone,Mineral oil,Moderate,349.5,4.6,349.240564612,33.1,1244.3,7.4,1243.51702653,400.0,14,575,2
Abiraterone,Naloxegol,Minor,349.5,4.6,349.240564612,33.1,651.8,-1.0,651.36186151,127.0,14,507,1
Naltrexone,Abiraterone,Moderate,341.4,1.9,341.16270821,70.0,349.5,4.6,349.240564612,33.1,1,14,2
