Drug_A_ID,Drug_A_MolecularWeight,Drug_A_XLogP,Drug_A_ExactMass,Drug_A_TPSA,Drug_B_ID,Drug_B_MolecularWeight,Drug_B_XLogP,Drug_B_ExactMass,Drug_B_TPSA,Level_ID
1,341.4,1.9,341.16270821,70.0,2,286.33,0.9,286.15420922,102.0,2
2,286.33,0.9,286.15420922,102.0,435,495.7,10.0,495.39237379,81.7,2
3,534.4,4.2,534.15018768,75.2,1053,419.4,2.4,419.12927704,99.2,1
4,252.34,0.4,252.11571571,114.0,1053,419.4,2.4,419.12927704,99.2,1
5,748.0,3.2,747.47689126,183.0,1053,419.4,2.4,419.12927704,99.2,1
6,344.8,5.0,344.1080262,17.8,1053,419.4,2.4,419.12927704,99.2,1
7,392.5,1.9,392.19990218,94.8,1053,419.4,2.4,419.12927704,99.2,1
8,229.26,-0.9,229.05211239,113.0,988,344.31,-5.2,344.13186158,201.0,2
8,229.26,-0.9,229.05211239,113.0,296,182.17,-3.1,182.07903816,121.0,2
9,129.16,-1.3,129.10144537,91.5,1053,419.4,2.4,419.12927704,99.2,2
10,416.1,5.3,415.983074,27.1,1053,419.4,2.4,419.12927704,99.2,1
1,341.4,1.9,341.16270821,70.0,8,229.26,-0.9,229.05211239,113.0,2
8,229.26,-0.9,229.05211239,113.0,435,495.7,10.0,495.39237379,81.7,2
8,229.26,-0.9,229.05211239,113.0,1054,182.17,-3.1,182.07903816,121.0,2
11,441.5,5.1,441.16099414,110.0,1053,419.4,2.4,419.12927704,99.2,1
12,267.24,0.0,267.09675391,93.2,156,924.1,0.0,923.48784986,320.0,2
13,392.5,1.9,392.19990218,94.8,12,267.24,0.0,267.09675391,93.2,2
12,267.24,0.0,267.09675391,93.2,459,430.5,2.5,430.2355388,93.1,2
12,267.24,0.0,267.09675391,93.2,4,252.34,0.4,252.11571571,114.0,1
12,267.24,0.0,267.09675391,93.2,5,748.0,3.2,747.47689126,183.0,1
12,267.24,0.0,267.09675391,93.2,7,392.5,1.9,392.19990218,94.8,2
12,267.24,0.0,267.09675391,93.2,41,362.5,1.6,362.20932405,94.8,2
12,267.24,0.0,267.09675391,93.2,1,341.4,1.9,341.16270821,70.0,2
12,267.24,0.0,267.09675391,93.2,42,360.4,1.6,360.19367399,94.8,2
12,267.24,0.0,267.09675391,93.2,43,358.4,1.5,358.17802393,91.7,2
12,267.24,0.0,267.09675391,93.2,36,481.5,1.6,481.16828496,149.0,2
12,267.24,0.0,267.09675391,93.2,37,418.6,4.7,418.27192431,72.8,2
12,267.24,0.0,267.09675391,93.2,45,394.4,1.2,394.17916674,115.0,2
3,534.4,4.2,534.15018768,75.2,1055,506.6,3.8,506.27179938,75.0,2
5,748.0,3.2,747.47689126,183.0,1055,506.6,3.8,506.27179938,75.0,3
6,344.8,5.0,344.1080262,17.8,1055,506.6,3.8,506.27179938,75.0,2
7,392.5,1.9,392.19990218,94.8,1055,506.6,3.8,506.27179938,75.0,2
9,129.16,-1.3,129.10144537,91.5,1055,506.6,3.8,506.27179938,75.0,2
1,341.4,1.9,341.16270821,70.0,1055,506.6,3.8,506.27179938,75.0,2
11,441.5,5.1,441.16099414,110.0,1055,506.6,3.8,506.27179938,75.0,2
14,349.5,4.6,349.240564612,33.1,465,361.4,3.8,361.13140809,65.5,2
15,465.9,3.4,465.1830623,86.1,14,349.5,4.6,349.240564612,33.1,3
5,748.0,3.2,747.47689126,183.0,14,349.5,4.6,349.240564612,33.1,2
16,231.26,3.4,231.123484,12.0,14,349.5,4.6,349.240564612,33.1,2
17,324.4,3.4,324.1473925,62.4,14,349.5,4.6,349.240564612,33.1,3
14,349.5,4.6,349.240564612,33.1,463,404.5,3.7,404.26750763,71.0,3
14,349.5,4.6,349.240564612,33.1,298,569.6,0.9,569.26381923,165.0,2
18,337.5,-0.6,337.04493627,238.0,14,349.5,4.6,349.240564612,33.1,2
19,231.26,3.4,231.123484,12.0,14,349.5,4.6,349.240564612,33.1,2
14,349.5,4.6,349.240564612,33.1,573,92.09,-1.8,92.047344113,60.7,2
20,312.4,2.8,312.1950114,50.2,14,349.5,4.6,349.240564612,33.1,2
14,349.5,4.6,349.240564612,33.1,988,344.31,-5.2,344.13186158,201.0,2
21,342.3,-4.3,342.11621151,190.0,14,349.5,4.6,349.240564612,33.1,2
22,361.4,-0.4,361.14378429,73.3,14,349.5,4.6,349.240564612,33.1,2
23,477.0,5.0,476.223056,43.8,14,349.5,4.6,349.240564612,33.1,3
24,299.79,2.6,299.1400546,67.6,14,349.5,4.6,349.240564612,33.1,2
25,171.15,0.0,171.06439116,83.9,14,349.5,4.6,349.240564612,33.1,1
14,349.5,4.6,349.240564612,33.1,575,1244.3,7.4,1243.51702653,400.0,2
14,349.5,4.6,349.240564612,33.1,507,651.8,-1.0,651.36186151,127.0,1
1,341.4,1.9,341.16270821,70.0,14,349.5,4.6,349.240564612,33.1,2
26,329.23,2.3,329.05110691,97.0,14,349.5,4.6,349.240564612,33.1,2
27,293.4,2.3,293.152812238,39.8,14,349.5,4.6,349.240564612,33.1,2
28,296.4,2.8,296.188863393,23.6,14,349.5,4.6,349.240564612,33.1,2
29,339.4,3.9,339.14705815,49.8,14,349.5,4.6,349.240564612,33.1,3
30,318.3,3.6,318.08920892,66.8,14,349.5,4.6,349.240564612,33.1,2
31,356.4,3.8,356.11946368,93.6,14,349.5,4.6,349.240564612,33.1,2
32,452.6,5.2,452.26750763,78.9,14,349.5,4.6,349.240564612,33.1,2
33,357.4,3.1,357.11471265,96.8,14,349.5,4.6,349.240564612,33.1,2
3,534.4,4.2,534.15018768,75.2,35,853.9,2.5,853.3309553,221.0,2
34,176.12,-1.6,176.03208797,107.0,35,853.9,2.5,853.3309553,221.0,1
4,252.34,0.4,252.11571571,114.0,35,853.9,2.5,853.3309553,221.0,2
5,748.0,3.2,747.47689126,183.0,35,853.9,2.5,853.3309553,221.0,2
6,344.8,5.0,344.1080262,17.8,35,853.9,2.5,853.3309553,221.0,2
35,853.9,2.5,853.3309553,221.0,7,392.5,1.9,392.19990218,94.8,2
35,853.9,2.5,853.3309553,221.0,463,404.5,3.7,404.26750763,71.0,2
22,361.4,-0.4,361.14378429,73.3,35,853.9,2.5,853.3309553,221.0,1
